url,time,flow,chunk
-jLKihdczEo,2024_11_25_06_29,192.168.38.62:52853-74.125.101.170:443,136473/1020225/973892/761340/955435/964390/960313/966019/324582/742868/565469/598996/245489/867459/295712/918715/835612/498459/385764/123793/963507/665920/180011/621668/531947/382981/429901/687357/391704/582434/377002/596700/803287/446566/360496/324213/348304/841156/526519/336030/868233/98482/328922/455329/969130/193276/622209/361062/269581/358750/184755/969015/585564/631700/413685/900006/417069/597529/689636/489150/670707/690414/581802/604007/681711/301972/764318/576591/297294/338689/115515/293128/530953/516052/244401/420143/579702/438331/454446/268470/521038/234158/306456/164795/314041/524888/760282/559342/388279/473761/499969/368964/420578/196767/420371/161864/300809/215841/489401/298625/118525/682689/229807/187559/435304/269681/196431/592449
-jLKihdczEo,2024_11_25_06_40,192.168.38.62:52981-74.125.101.170:443,1179783/561384/796762/753498/147633/37213/327862/948463/813568/865839/434329/713289/435740/743291/926864/860028/835139/770767/428273/870588/402787/845839/621668/531947/382981/432530/289879/687357/313636/582434/973614/803287/446566/360496/324213/195219/994241/526519/336030/868233/437435/328922/455329/1045723/193276/622209/361062/269581/358750/184755/989736/569180/466426/558673/601608/933022/642278/670707/690414/604007/369184/474357/140230/653604/576591/297294/338689/115515/293128/530953/516052/405749/258795/946405/438331/454446/268470/521038/234158/306456/164795/297657/524888/499600/559342/388279/473761/499969/368964/420578/196767/420371/161864/300809/215841/489401/298625/682689/229807/187559/435304/269680/196430/583034
-jLKihdczEo,2024_11_25_06_50,192.168.38.62:53125-74.125.101.170:443,641192/561384/1275841/557243/262326/1076123/415025/16561/559174/1054612/324582/565469/844393/867459/312096/378536/458828/498459/274696/586584/402787/303415/809389/531947/382981/432530/353192/687357/391704/566050/377002/596700/803287/180402/360496/324213/348304/841156/526519/196786/599292/193276/622209/361062/269581/358750/184755/213170/311479/466426/578959/900006/417069/597529/689636/489150/32946/690414/581802/604007/369184/312615/301972/764318/576591/297294/338689/115515/293128/530953/516052/244401/420143/946405/438331/32946/268470/521038/234158/306456/164795/314041/524888/760282/559342/388279/473761/499969/368964/420578/196767/420371/161864/300809/215841/489401/298625/118525/682689/229807/187559/435304/110960/355150/592448
-jLKihdczEo,2024_11_25_07_01,192.168.38.62:53279-142.251.84.70:443,1179783/561384/796762/737114/999616/744956/971917/751310/628562/813568/964143/713289/844393/867459/810003/444068/982681/1062785/710285/402787/797078/548535/73225/531947/382981/432530/429901/687357/358936/582434/377002/596700/374685/585323/289937/360496/324213/348304/841156/526519/336030/868233/437435/328922/455329/969130/193276/622209/361062/269581/358750/184755/969015/585564/631700/413685/900006/400685/147634/689636/489150/654323/690414/581802/604007/681707/301972/747934/278711/289318/338689/115515/823989/516052/405749/258795/946405/438331/454446/262329/521038/234158/306456/164795/314041/524888/760282/559342/388279/473761/499969/368964/420578/196767/420371/161864/300809/215841/489401/298625/118525/682689/229807/187559/435304/269680/196431/435492
-jLKihdczEo,2024_11_25_07_12,192.168.38.62:53409-74.125.101.170:443,1179783/561384/796762/753498/999616/1092507/431409/793169/813568/1013295/49329/65713/810003/918715/1097343/509465/989279/665920/180011/548535/605080/382981/432530/429901/687357/391704/582434/377002/596700/803287/806974/245938/348304/841156/377093/336030/868233/437435/328922/455329/734434/193276/622209/361062/269581/358750/184755/989736/32946/413685/900006/371027/949406/32946/670707/690414/565418/604007/369184/474357/140230/764318/576591/297294/338689/115515/293128/530953/32946/244401/420143/946405/438331/454446/268470/521038/234158/306456/164795/314041/524888/760282/559342/388279/822266/520336/420578/196767/420371/161864/300809/215841/98483/682689/229807/187559/435304/269680/196430/435491
-NtSZQHRc-I,2024_11_29_03_53,192.168.38.62:64385-74.125.171.42:443,153149/593120/762128/1084711/726576/232652/316551/785770/234254/428219/124891/522235/205922/511040/388311/239560/729448/858948/608096/525933/613098/631110/566544/304280/122660/311817/278093/311928/313981/394769/282764/335895/332097/215556/321285/308186/303499/504020/326592/446331/394333/241705/340510/407362/620584/793872/398456/132613/303940/440384/407002/512265/367622/528697/279206/555746/686425/293085/189486/394327/145477/430572/345198/239211/207184/292977
-NtSZQHRc-I,2024_11_29_03_53,192.168.38.62:64500-142.251.84.74:443,1064327/657721/471619/495943/557745/605002/726929/639208/553727/557313/509298/488744
-NtSZQHRc-I,2024_11_29_04_03,192.168.38.62:64589-74.125.171.42:443,989086/593118/901153/269989/231432/620278/550747/232652/457630/574217/304728/428204/506581/639485/599371/631815/476285/719841/608096/257984/510920/677208/890568/426848/311817/278093/311928/313971/394769/282764/335895/190385/357268/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/303940/440384/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345197/239210/64662/435497/554778/983425/546340/1257331/805097/1137290/1070680/1094040/1107797/1042572/1101831/1177273/1239249/1314556/1372756/1345441/308643/894649/803700/753661/1190135/704703/871605/715983/32949/1138519/953545/640810/784801/1116367/789402/715901/977637/1095033/721216/788949/1123976/1051276/714191/890796/705691/558614/927030/674207/675335
-NtSZQHRc-I,2024_11_29_04_14,192.168.38.62:64773-74.125.171.42:443,989086/593120/762128/1084711/726576/232652/457630/574217/304728/553003/522235/205922/152599/746752/631815/702483/493643/608096/525933/613093/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/447907/296417/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345198/239211/64663/435498/407635
-NtSZQHRc-I,2024_11_29_04_14,192.168.38.62:64874-142.251.84.74:443,1317375/1242467/915656/949058/907113/1200275/1005462/1144479/996460/610836/875646/809404/943755/965203/860124/938817/853009/32949/1087381/958230/1046038/697026/317511/736189/854407/627086/806391/735840/477712/288361/145729
